WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC FORM	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANSLATION SYNONYM1	TRANSLATION SYNONYM2	TRANSLATION SYNONYM3	TRANSLATION SYNONYM4	TRANSLATION SYNONIM 5	TRANSLATION SYNONIM 6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
accidente múltiple	M			NLc		4			gurgadaslihkohisvuohta		N		s: ráidolihkohisvuohta	s: gurgadaskollišuvdna	s: ráidokollišuvdna	s: oktiibeaškkeheapmi																
por accidente		s: accidentalmente		AdvLc		5			soaittáhagas		Adv								Consiguió su propósito por accidente.	Son cevzzii soaittáhagas.												
acción	F			N		1			dahku		N		s: doaibma																			
acción	F			N		2	Ekonomiija/Economía		oasus		N																					
de acción	M/F			ALc		3			doaibmi		A		s: doaimmalaš						hombre de acción	doaibmi almmái												
de acción	M/F			ALc		4			dráma-		Attr								novela de acción	drámanovealla												
aceite	M			N		1			olju		N								aceite de oliva	olivenolju												
aceituna	F			N		1			oliven		N																					
acera	F			N		1			váccáhat		N		s: vázzingeainnus	s: vázzinravda																		
acerca				Pr		1				Gen		+ de							Ha escrito un libro acerca del rey.	Lea čállán gonagasa girjji.												
acerca				Pr		2				Loc		+ de							Ha escrito un libro acerca del rey.	Lea čállán girjji gonagasas.												
acerca				Pr		3			birra		Po	+ de	s: ektui	s: hárrai					Ha escrito un libro acerca del rey.	Lea čállán girjji gonagasa birra.	No sé nada (acerca) de ti.	In dieđe maidege du ektui.										
acercar			1g	V		1			lagadit		V	TV							Acércame el azúcar, por favor.	Sáhtášit go leat nu buorre ahte lagadat sohkkara?												
acercarse			1g	V	acercar	2			lahkanit		V	Prnl, IV	s: lahkonit	s: boahtit	s: boahtit lagabui				Nos acercamos a la montaña.	Moai lahkanetne várrái.	Acércate.	Boađe lagabui.	Acércate.	Boađe deike.								
ácido	M,F 			A		1			suvrris		A								El limón es ácido.	Sitrovdna lea suvrris.												
ácido	M,F 			A		2	Mielki		jiesas		A																					
lluvia ácida	F			NLc		3			nuoskkiduvvon arvi		NLc		s: suvrra arvi	s: sivrra arvi																		
ácido	M			N		1			sivra		N																					
aclarar			1a	V		1	Ivdni		šelggodahttit		V	TV	s: šearasmahttit						Aclara los colores oscuros.	Dat šelggodahttá sevdnjes ivnniid.												
aclarar			1a	V		2	Dálki		firtet		V	IV, Imp, 3per							El cielo aclara.	Dál firte.												
aclarar			1a	V		3	Mierká		govdet		V	IV, Imp, 3per							La niebla aclara.	Mierká govde.												
aclarar			1a	V		4	Doaba		čilget		V	TV	s: čielggadit						Ese profesor aclara bien los conceptos.	Dát oahpaheaddji čilge bures doahpagiid												
aclarar			1a	V		5	Bassaladdan		doidit		V	TV							La lavadora no aclara bien la ropa.	Bassaladdanmášiidna ii doidde doarvái bures biktasiid.												
aclararse			1a	V	aclarar	6			nákcet		V	Prnl, IV	s: nagodit						Los ciudadanos no se aclaran con el cambio de moneda.	Riikkavuložat eai nákce ruhtacuvkemiin.												
acompañar 			1a	V		1			mieđuštit		V	TV	s: čuovvut						Tenía que acompañarla al mercado.	Mun fertejin su mieđuštit márkanii.												
acompañar 			1a	V		2			čuovvut		V	TV							Junto con la ley acompañaron el codicilo.	Lágain čuovui kodisilla.												
acompañarse 			1a	V	acompañar 	3			heivet		V	Imp, 3per	s: soahpat						La carne se acompaña con vino tinto, el pescado con blanco.	Birgui heive ruksesviidna, guollái fas vilgesviidna.												
acompañarse			1a	V	acompañar 	4			čuvodit		VLc	Prnl, IV	s: leat mielde	s: leat fárus					Siempre te acompañas de buena gente.	Don čuvodat álo buriid olbmuid.												
acondicionado	M,F 			A		1			siskkoštuvvon		A								La sala está acondicionada para la reunión.	Latnja lea siskkoštuvvon čoahkimii.												
aire acondicionado	M			NLc		2			áibmomolsun		N																					
acondicionar			1a	V		1			ordnet		V	TV	s: siskkoštit	s: bures ráhkkanahttit					Voy a acondicionar la habitación.	Áiggun boahtit siskkoštit lanja.												
acordar			1m	V		1			šiehtadit		V	TV	s: ráđđádallat						Los  partidos acordaron el nuevo presupuesto.	Bellodagat šiehtadedje ođđa bušeahta.												
acordarse			1m	V	acordar	2			muitit		V	Prnl, ReflV, UseTV, + de							No me acuerdo de esa canción.	In muitte dán lávlaga.												
acorde	M/F			A		1			vástideaddji		A		s: heivvolaš	s: soahpavaš					La decisión fue acorde con el presupuesto.	Mearrádus lei bušeahta vástideaddji.	El salario es acorde a mis necesidades.	Bálká lea heivvolaš mu dárbbuide.										
acorde	M			N		1	Musihkka/Música		ákkoarta		N		s: šuoŋaid oktiiheiven																			
acordeón	M			N		1			geassočuojanas		N																					
acostar			1m	V		1			nohkkadit		V	TV							La enfermera acuesta al paciente.	Buohccidivššár nohkkada buohcci.	Laura ha ido a acostar a la niña.	Laura lea vuolgán nohkkadit nieiddaža.										
acostarse			1m	V	acostar	2			velledit		V	Prnl, ReflV	s: nohkkat						Es hora de acostarse.	Lea áigi velledit.												
acostarse			1m	V	acostar	3	Beaivválaš giella/Uso coloquial		anašit		V	Prnl, RecV																				
estar acostado			1p	VLc	acostar	4			velledit		V	IV																				
estar acostado			1p	VLc	acostar	5	Eallit		livvut		V	IV							La vaca está acostada y rumiando.	Gussa livvu ja smirezastá.												
estar acostado			1p	VLc	acostar	6	Beana, bussá		goarjut		V	IV							El perro está acostado.	Beana goarju.												
acostumbrar			1a	V		1			hárjehahttit		V	TV	s: vuogáiduhttit	s: oadjudahttit					Es bueno acostumbrar a la persona a comer saludable desde niño.	Lea buorre hárjehahttit olbmo borrat dearvvašlaččat mánnávuođas juo.												
acostumbrar			1a	V		2			lávet		V	IV, + a							Los sábados acostumbro a ir al teatro con mi mujer.	Lávvordagaid láven mannat teahterii eamidiin.												
acostumbrarse			1a	V	acostumbrar	3			hárjánit		V	Prnl, IV, + a	s: doahttat						Es más fácil acostumbrarse a la idea de que todos tenemos que morir algún día.	Lea olu álkit hárjánit jurdagii, ahte buohkat galget jápmit muhtun beaivvi.												
acostumbrarse			1a	V	acostumbrar	4			oadjut		V	Prnl, UseTV, + a							Todavía no me he acostumbrado a conducir este coche.	In leat velá odjon vuodjit dien biilla.												
acostumbrarse			1a	V	acostumbrar	5			seatnat		V	Prnl, UseTV, + a							No me acostumbro a vivir en París.	In seana orrut Parisas.												
estar acostumbrado			1p	VLc	acostumbrar	6			leat hárjánan		VLc	Prnl, UseTV, + a																				
actitud	F			N		1			guoddu		N		s: dahku						La actitud del Partido Laborista estimuló el acuerdo.	Bargiidbellodaga dahku ávžžuhii šiehtadallat.												
activar			1a	V		1			aktiveret		V	TV	s: ealáskahttit	s: jođálmahttit	s: gáhčahit	s: vuolggahit			activar un motor	aktiveret mohtovrra	activar un motor	vuolggahit mohtovrra johtui										
activarse			1a	V	activar	2			doaibmagoahtit		V	Prnl, IV							El ordenador se activa al pulsar el botón.	Dihtor doaibmagoahtá go deaddila boalu.												
actividad	F			N		1			árjjalašvuohta		N		s: doaimmalašvuohta																			
actividad	F			N		2			doaibma		N																					
actividad	F	s: industria		N		3			doallu		N								actividad del reno	boazodoallu	actividad agropecuaria	eana(n)doallu										
estar en actividad		s: estar en activo	1p	VLc		4			leat doaimmas		VLc	IV																				
actual	M/F			A		1			dálá		Attr		s: dáláš						Para el año 2030, la temperatura media será un grado más alta que la actual.	2030-jagiid gaskamearálaš temperatuvra galgá leat ceahki dálá temperatuvrra badjeleabbos.												
actuar			1e	V		1			doaibmat		V	IV							Actúa en pequeños papeles en el cine.	Son doaibmá smávebuš filbmarollain.	Tres personas actúan como recepcionistas.	Golbma olbmo doibmet guossevuostáváldin.										
actuar			1e	V		2			láhttet		V	IV							El hombre actuó de una manera inconveniente.	Almmái láhttii heivemeahttumin.												
acuerdo	M			N		1			šiehtadus		N		s: lihttu																			
además				Adv		1			dasa lassin		AdvLc		s: maiddái	s: maiddá	s: lassin				Es un gran compositor y además un excelente pianista.	Son lea máinnalmas komponista ja dasa lassin válljugas pianista. 	Además hay que tener en cuenta el precio del petróleo.	Ferte dasa lassin váldit vuhtii maiddái eana(n)oljju hatti.										
adentro				Adv		1	Stáhtalaš/Estático			Loc									Mar adentro no hay tanto oleaje.	Ábis ii leat gearahat.	La bala está metida adentro.	Luođđa lea bisson gorudis.										
adentro				Adv		2	Stáhtalaš/Estático		siste		Po		s: siskkabealde	s: siskkobealde					La bala está metida adentro.	Luođđa lea bisson goruda siste.												
adentro				Adv		3	Dynámalaš/Dinámico		guvlui		Po								Conduciendo hacia adentro de la isla, llegas a un lago.	Go vuoját sullo guvlui, de ollet jávregáddái.												
adentro				Adv		4	Dynámalaš/Dinámico		sisa		Po								Fue adentro de la casa	Son manai viesu sisa.												
adentro				Adv		5	Dynámalaš/Dinámico			Ill									Fue adentro de la casa	Son manai vissui.												
¡adentro! 				Interj		6			boađe sisa!		Interj																					
adhesión	F			N		1			searvan		N								España firma el protocolo de adhesión a la OTAN.	Spánija vuolláičállá NATO-searvama protokolla.												
adinerado	M,F			A		1			rikkis		A		s: jábálaš	s: ruhttii	s: buresbirgejeaddji				La gente adinerada vive en grandes casas.	Rikkes álbmot eallá stuorra visttiin.												
adivinación	F			N		1			árvádus		N																					
adivinanza	F			N		1			sátneárvádus		N								jugar a las adivinanzas	jearrat árvádusaid												
adjuntar			1a	V		1			bidjat mielddusin		VLc	TV	s: laktit	s: ovttastahttit					Le adjunto mi factura.	Mun bijan mielddusin iežan rehkega.												
adjunto	M,F			A		1			lassi		A		s: liige						Ver documento adjunto.	Geahča lassi dokumeantta.												
adonde				Pron, Rel		1			gosa		Pron, Rel								El lugar adonde voy está muy lejos.	Báiki gosa mun vuolggán, lea mealgadis.												
adónde				Adv, Interr		1			gosa		Interr								¿Adónde vas?	Gosa vuolggát? 												
adónde				Adv, Interr		2	Figuratiiva/Figurado		mii		Interr								¿Adónde quieres llegar? 	Maid don oaivvildat?												
adornar 			1a	V		1			čiŋahit		V	TV	s: hervet						Ana adorna con flores la mesa del comedor.	Ana čiŋaha borranbeavddi liđiiguin.												
adornar 			1a	V		2	Olbmuid, Olbmoattáldagaid		rámidit		V	TV	s: rámpot	s: rábmot					En su discurso, el alcalde adornó la paciencia de los maestros.	Sátnejođiheaddji rámidii sártnistis oahpaheddjiid gierdevašvuođa.												
adornarse			1a	V	adornar	3			čiŋadit		V	Prnl, ReflV																				
adulto	M,F			A		1			rávis-		A		s: olles-	s: ollesšattot					la edad adulta	rávisolbmo ahki	la edad adulta	ollesolbmo ahki										
adulto	M,F			N		2			rávisolmmoš		N		s: ollesolmmoš																			
afectar			1a	V		1			váikkuhit		V	TV	s: báidnit						La escasez de agua es un gran problema que afecta a nuestro planeta.	Čáhcevátnivuohta lea stuorra váttisvuohtan, mii váikkuha min almmigáhppálaga.												
afectar			1a	V		2			váivvidit		V	WObjPron, TV							Me afectan tus palabras.	Du sánit váivvidit mu.												
afeitar			1a	V		1			ráhket		V	TV	v: ráhkket	s: čuohppat	s: oanedit skávžžáid	s: beaskidit skávžžáid			Carlos afeita a su padre. 	Carlos oaneda iežas áhči skávžžáid.												
afeitarse			1a	V	afeitar	2			ráhket iežas skávžžáid		VLc	Prnl, ReflV	v: ráhkket iežas skávžžáid						Carlos se afeita por las mañanas.	Carlos ráhke iežas skávžžáid iđđediid.												
crema de afeitar	F			NLc		3			skávžásokta		N		s: ráhkensokta																			
afilado	M,F			A		1			bastil		A								dientes afilados	bastilis bánit												
afilador	M,F			N		1	Olmmoš		niibesaddji		N																					
afilador	M			N		2	Ávnnas		sadjinávnnas		N		s: dávžžan	s: heaidna	s: saján																	
afilar			1a	V		1			sadjit		V	TV	s: dávžat	s: heidnet	s: čohkat																	
afilarse			1a	V	afilar	2	Gorutlahttu		čohkat iežas		VLc	Prnl, ReflV							El gato se afila las uñas.	bussá čohká iežas gaccaid.												
afortunadamente				Adv		1			lihkus		Adv																					
afuera				Adv		1	Dynámalaš/Dinámico		olggos		Adv								Voy afuera.	Mun boađán olggos.												
de afuera				Adv		2	Dynámalaš/Dinámico		olgun		Adv								Vengo de afuera.	Mun boađán olgun (sisa).												
afuera				Adv		3	Stáhtalaš/Estático		olgun		Adv		s: olggobealde	s: olggobeale					Afuera nos espera Antonio.	Antonio vuordá min olgun.	Élla está afuera.	Son lea olgun.										
¡afuera!		s: ¡fuera!		Interj		4			mana olggos!		Interj		s: olggoráigge!																			
afueras	F			N		1			ravdaguovllut		N	Use: Pl	s: ravda-oasit						El concierto es a las afueras de la ciudad.	Konsearta lea gávpoga ravdaguovlluin.												
agenda	F			N		1			beaivegirji		N																					
agotamiento	M			N		1			váiban		N		s: viessan						Las personas pueden llegar a morir de agotamiento.	Olbmot sáhttet jápmit váibamis.												
agotamiento de los pastos	M			NLc		2			doldašuvvan eana(n)		NLc		s: guorba eana(n)						Todavía no se ha llegado al agotamiento de los pastos.	Ii leat velá gártan doldašuvvan eana(n).												
agotamiento del agua	M			NLc		3			čáhcevátnivuohta		NLc		s: goikkádat	s: čázehis dilli					El agotamiento del agua hizo que los animales desaparecieran.	Čáhcevátnivuohta dagahii, ahte eallit goiket.												
agotar			1a	V		1			gurret		V	TV	s: sálket						Los chicos han agotado los refrescos.	Mánát leat gurren máihlejuhkosiid.	agotar los platos	sálket beavddi lihtiid										
agotar			1a	V		2			váibadit		V	TV							En el torneo de Guovdageaidnu, Jovnna agotó a su reno de carreras.	Guovdageainnu heargegilvovuodjin Jovnna váibadii iežas hearggi.												
agotarse			1a	V	agotar	3			nohkat		V	PassV, 3per							La carne se ha agotado.	Biergu lea nohkan.	Se me ha agotado la paciencia.	Mu gierdevašvuohta lea nohkan.										
agotarse			1a	V	agotar	4		 	váibat		V	Prnl, IV							Corrieron tanto que se agotaron.	Sii vihke nu ollu ahte váibe.												
agradable	M/F			A		1			bures heivehuvvon		ALc								La temperatura es muy agradable para cultivar uvas.	Temperatuvra lea bures heivehuvvon šaddadit viidnamurjjid.												
agradable	M/F			A		2			heivvolaš		A		s: vuogas						un sabor agradable	heivvolaš máistu												
olor agradable	M			NLc		3			njálgga hádja		NLc																					
agradecer			2d	V		1			giitit		V	TV							agradecer un regalo	giitit attáldagas	Te lo agradezco mucho.	Mun giittán du ollu.										
agradecer			2d	V		2			gártat giitevaš		V	Imp, 3per, Sg	s: illudit						Cuando hace tanto calor, se agradece un poco de aire.	Go lea nie báhkka, de don gárttat giitevaš čoaskasiin.	Cuando tienes hambre se agradece cualquier comida.	Go dus lea nealgi, de don illudat vaikko makkár borramušain.										
agregar			1h	V		1			lasihit		V	TV							Antes de servir, agregue sal y pimienta.	Ovdal go buvttát (borramuša) beavdái, de lasit sáltti ja bihppora.												
agregar			1h	V		2			mielddustit		V	TV	s: lasihit						He agregado un párrafo al texto.	Mun lean mielddustan paragráfa tekstii.												
agregarse		s: sumarse	1h	V	agregar	3			searvat čoahkkima jovkui		VLc	Prnl, IV							Los representantes del Partido del Pueblo Sami se agregaron a la reunión.	Sámiálbmot Bellodaga áirasat serve čoahkkima jovkui.												
agua	F			N		1		 	čáhci		N																					
agua potable 	F			NLc		2			juhkančáhci																							
agua corriente	F			NLc		3			golgi čáhci																							
aguas	F			N	agua	4			dulvečáhci		N	Use: Pl							Después de la tormenta, las aguas volvieron a su cauce.	Stoarpma maŋŋil čáhci čuovvola ovddeš oali.												
aguas termales	F			NLc	agua	5			báhkkahávdaga čáhci 		NLc	Use: Pl																				
aguas menores	F			NLc	agua	6	Olmmoš		gožža		N	Use: Pl	v: gužža	s: cissa																		
aguas mayores 	F			NLc	agua	7	Olmmoš		baikkat		N	Saam, Span: Pl																				
aguante	M			N		1			gierdevašvuohta		N																					
aguar			1a	V		1			sehkket čáziin		VLc	TV							Ahorran mucho dinero aguando el vino.	Sestet ollu ruđa go sehkkejit viidnii čázi.												
aguar			1a	V	aguar	2	Feasta		gaskkalduvvat		V	TV	s: muosehuhttit	s: ráfehuhttit					aguar la fiesta	muosehuhttit feastta												
aguarse			1a	V	aguar	3	Mális, liepma		čáhcenjaddit		V	PassV, 3per	s: čáhccejuvvot	s: leat veahtas					El caldo se ha aguado demasiado.	Liepma čáhcenjaddá meareheamet.	El caldo se ha aguado demasiado.	Liepma lea meareheamet čáhccejuvvon.										
águila	F			N		1		aquila	goaskin		N	Sg: el +																				
águila pescadora	F			NLc		2		pandion haliaetus	čiekčá		N	Sg: el +	s: mearragoaskin																			
agujero	M			N		1			ráigi		N								agujero nasal	njunneráigi												
agujetas	F			N		1			boatkoluvvan		N	UseAlw: Pl  																				
tener agujetas			2l	VLc		2			boatkoluvvat		V	IV																				
aguzar			1f	V		1			sadjit		V	TV	s: heidnet						aguzar un cuchillo	sadjit niibbi												
aguzar			1f	V		2			čohkat		V	TV							aguzar un lápiz	čohkat ladjočálana												
aguzar			1f	V		3	Áicu		geahččat dárkilit		VLc	TV	s: gaivát	s: gávkat																		
aguzar el oído			1f	VLc		4			bealljeskaddarastit		V	TV																				
ahí				Adv		1	Stáhtalaš/Estático		das		Adv								El libro está ahí.	Girji lea das.												
ahí				Adv		2	Dynámalaš/Dinámico		dasa		Adv		s: diesa						El perro se ha sentado ahí.	Beana lea gorjjodan dasa.												
