WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC FORM	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANSLATION SYNONYM1	TRANSLATION SYNONYM2	TRANSLATION SYNONYM3	TRANSLATION SYNONYM4	TRANSLATION SYNONIM 5	TRANSLATION SYNONIM 6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
(dirección de) correo electrónico	F	s: email		NLc		5			šleađgaboasta		N																					
(hacia) allí		s: (hacía) allá		AdvLc		3	Dynámalaš/Dinámico		dohko		Adv								Voy (hacia) allí.	Vuolggán dohko.												
(hacia) detrás				AdvLc		8	Dynámalaš/Dinámico,  go olmmoš dahjege ealli lea referánsa		maŋábeallái		Po								El perro corrió hacia detrás del reno.	Beana ruohtai bohcco maŋábeallái.												
(mal) genio	M			NLc		4	Negatiivvalaš mearkkašumiin/Con significado negativo		bahámiella		NLc		s: bahá gopma																			
(niño) huérfano	M,F			NLc		1			oarbbes mánná		NLc		s: váhnemahtes mánná																			
(poner a) hervir			3i	VLc		4			vuoššat		V	TV	s: duolddahit	s: giksadit					¿puedes (poner a) hervir el agua?	Sáhtát go don vuoššat čázi?												
(por) delante de				AdvLc		3			ovddabeallái		Po								El ciclista va (por) delante del pelotón.	Sihkkelasti manná joavkku ovddabeallái.												
(por) detrás de				AdvLc		6	Dynámalaš/Dinámico		duohkái		Po		s: duogábeallái						Escribió su nombre (por) detrás del cuadro.	Son čálii iežas nama gova duohkái.												
(ser) igual a			2w	VLc		8	Matematihkka/Matemáticas		gártat		V	IV	s: šaddat						Dos más tres (es) igual a cinco.	Guokte ja golbma gártá vihtta.												
a				Pr		1	Báiki/Lugar		lusa		Po								Mañana iré a tu casa.	Ihttin boađán du lusa.												
a				Pr		2	Báiki/Lugar		beallái		Po								Aunque viajemos a Suecia seguiremos estando en Sápmi.	Vaikko mii joatkit Ruoŧa beallái, de mii bissot Sámis.												
a				Pr		3			guvlui		Po								Ahora giraré a la izquierda.	Dál mun vuoján gurutguvlui.												
a				Pr		4	Áigemearri		rádjái		Po								La oficina está abierta de tres a cinco.	Kántuvra lea rabas golmma rájes viđa rádjái.												
a				Pr		5	Báiki/Lugar			Ill									ir a Perú	vuolgit Perui	El autobús va de Guovdageaidnu a Kárášjohka.	Busse vuodjá Guovdageainnus Kárášjohkii.										
a				Pr		6				Acc									Ayer vi a Carmen.	Mun deiven Carmena ikte.												
a				Pr		7				Loc									Preguntaremos a Márjá sobre el asunto.	Mii jearrat Márjjás ášši.												
a				Pr		8	Áigi/Tiempo			Loc		Freq							Riego la planta tres veces a la semana.	Mun čáhccen šattuid golmma geardde vahkus.												
a				Pr		9	Stáhtalaš/Estático		-bealde		Adv								La cocina está a la izquierda.	Gievkkan lea gurutbealde.												
a				Pr		10	Dynámalaš/Dinámico		gurrii		Po		s: báldii						Se han sentado a la mesa.	Sii leat čohkkedan beavddi gurrii.												
a				Pr		11	Áigi/Tiempo		maŋŋá		Po								a los tres años	golbma jagi maŋŋá												
a				Pr		12	Ahki		-jahkásaččat		Adv								A los quince años, viajé por primera vez a América.	Vihttanuppelot-jahkásažžan mátkkoštin vuosttaš geardde Amerihkkái.												
a				Pr		13				Inf		+ V							Mi hijo está aprendiendo a hablar.	Mu mánná lea oahppamin hállat.	Ya se han sentado a comer.	Sii leat juo čohkkedan borrat.										
a bordo				AdvLc		2	Fanas, girdi, biila, toga...		fatnasis		N	Saam: UseAlw: Loc	s: girddis	s: biillas	s: togas																	
a bote pronto				AdvLc		4			fáhkkestaga		Adv																					
a casa				AdvLc		3			ruoktot		Adv		s: báikái	s: siidii																		
a causa de				AdvLc		3			geažil		Po								La carretera se cerró a causa de la nieve.	Geaidnu boatkanii muohttaga geažil.												
a causa de				AdvLc		4				Loc									La enfermedad se produjo a causa de un tumor.	Dávda vulggii šattalmasas.												
a causa de				AdvLc		5			dan sivas go		CC								La carretera se cerró a causa de la nieve.	Geaidnu boatkanii dan sivas go muohttái.												
a causa de				CCLc		28			dan geažil go		CC		s: dasgo	s: dan dihte go																		
a cómo				Interr		3			maid máksá		Interr	+ ser, estar	s: olu máksá						¿A cómo son las manzanas?	Ollu mákset eppelat?												
a cual más	M/F			ALc		3			hui		Pfs								Nos enseñó las joyas, a cual más hermosa.	Son čájehii midjiide čiŋaid, nubbi čábbaseabbot go nubbi.												
a dentro		v: adentro		AdvLc		2	Dynámalaš/Dinámico		siskkabeallái		Adv, Po		s: sisa						Tengo frío, voy a dentro.	Mun goalun, dalle vuolggán sisa.												
a dentro de		v: adentro de		PrLc		4	Dynámalaš/Dinámico			Ill									No voy a ir adentro de ese bosque.	Mun in vuolgge dán vuovdái.												
a diario		s: todos los días		AdvLc		2			beaivválaččat		Adv		s: juohke beaivvi																			
a diferencia de				AdvLc		2			erohus lea ahte		VLc								A diferencia de las moscas, los mosquitos pican.	Čuoikka ja čurroha erohus lea ahte čuoikkat gásket ja čurrohat eai daga dan.												
a escala				AdvLc		4			mihttolávas		Adv								El plano de la casa está dibujado a escala.	Viessoplána lea sárgon mihttolávas.												
a espaldas				AdvLc		6			sealggabealde		Adv								Ha tomado la decisión a mis espaldas.	Son lea mearredan dan mu sealggabealde.												
a fin de				AdvLc		3	Áigi/Tiempo		loahpas		Adv		s: loahpageahčen						A fin de mes cobramos el sueldo.	Mii oažžut bálkká juohke mánu loahpas.												
a flor de piel				AdvLc		7			dárjjaheapme		A								tener una pena a flor de piel	leat dárjjaheapme morraša ektui												
a flor de tierra				AdvLc		8			eatnama govdilasas		AdvLc																					
a fondo				AdvLc		10			oalát		Adv		s: ollásit						Hay que hacer una limpieza a fondo.	Ferte oalát čorget.												
a fondo				AdvLc		11			vuđolaččat		Adv		s: čiekŋalit						No he leído el texto a fondo.	In leat lohkan teavstta vuđolaččat.												
a golpes				AdvLc		20			veahkaválddil		Adv		s: veahkáválddálaččat						Lo mataron a golpes.	Sii godde su veahkaválddil.												
a golpes				AdvLc		21			vuohkuid mielde		AdvLc								El coche marcha a golpes.	Biila manná vuohkuid mielde.												
a gusto				AdvLc		9			hávskái		Adv								En esta casa estoy a gusto.	Dan visttis lean hávskái.												
a la derecha				AdvLc		5			olgešbeallái		Adv								A la derecha del aula se sientan las chicas.	Nieiddat čohkkedit oahpahatlanja olgešbeallái.												
a la derecha		s: a mano derecha		AdvLc		6			olgešguvlui		Adv								Al llegar al cruce, gire a la derecha.	Go ollet geaidno-errui, de vuoje olgešguvlui.												
a la fuerza		s: por la fuerza		AdvLc		9			fámolaččat		Adv																					
a la fuerza		s: por fuerza		AdvLc		10			bákkolaččat		Adv								La tormenta es tan tremenda que debo estar en casa a la fuerza.	Stoarbma lea nu garas ahte mun ferten leat ruovttus bákkolaččat.												
a la hora de...				AdvLc		11			áigi vássá…		Pfs		s: áigi láddá…						Pensó mucho en ello, pero a la hora de hacerlo no se atrevió.	Son jurddašii das olu, muhto go áigi láttai, de ii duostan.												
a la izquierda				AdvLc		4	Stáhtalaš/Estático		gurutbealde		Adv								La casa está a la izquierda de la carretera.	Viessu lea geainnu gurutbealde.												
a la izquierda				AdvLc		5	Dynámalaš/Dinámico		gurutbeallái		Adv								Voy a girar a la izquierda.	Áiggun jorgalit gurutbeallái.												
a la vista				AdvLc		11			oidnosis		AdvLc								¡Barco a la vista!	Fatnasa oidnosis!	¡Tierra a la vista!	Eatnama oidnosis!										
a la vista de		s: en vista de		AdvLc		14			oainnedettiin		Adv		s: geahčadettiin	s: oidnosis					A la vista de los hechos el juez lo condenó.	Daguid oainnedettiin duopmár su ráŋggáštii.												
a la vuelta de la esquina				AdvLc		2			nurkki birra		AdvLc																					
a mala idea				AdvLc		9			bahádáhtolaš áigumušain		AdvLc								Se lo dijo a mala idea.	Son dán dajai sutnje bahádáhtolaš áigumušain.												
a medio camino				AdvLc		4			beallemátkkis		Adv																					
a medio camino		s: a mitad de camino		AdvLc		5	Figuratiiva/Figurado		belohahkii ja belohahkii		AdvLc								El murciélago está a medio camino entre el ratón y las aves.	Náhkkesoadji lea belohahkii sáhpán ja belohahkii girdi.												
a medio camino		s: a mitad de camino		AdvLc		6	Figuratiiva/Figurado		belohahkii		Adv								En desarrollo, ese país se ha quedado a medio camino.	Ovdaneami ektui riika lea bázahallan belohahkii.												
a partir de				AdvLc		4				Loc									A partir de Máze hacia Alta, la carretera está llena de curvas.	Mázes Álahedjui lea hui moalkás geaidnu.												
a partir de				AdvLc		5			rájes		Po								A partir de las dos, tengo que trabajar.	Ferten bargat guovtti rájes.												
a pesar				AdvLc		3			vuostá		Adv								Lo haré a pesar tuyo.	Mun dan dagan du vuostá.												
a pesar de				CC		4			vaikko		CC								Saldremos a pesar de la lluvia.	Mii vuolgit vaikko arvin.												
a pie				AdvLc		2			vácci		Adv								Voy a pie.	Boađán vácci.												
a por		a coger, a buscar		PrLc		14			viežžat		V								Ha ido a por leña.	Son lea mannan muoraid viežžat.												
a por		a coger, a buscar		PrLc		15				Loc		Saam: Boares geavaheapmi/Arcaísmo							Ha ido a por leña.	Son lea mannan muorain.	Ha ido a por agua.	Son lea mannan čázis.										
a primera hora				AdvLc		12			árra		Adv		v: árrat						a primera hora de la tarde	árra eahket												
a principios				AdvLc		3			álgu		Adv								a principios del año pasado	ovddit jagi álgu												
a punto				AdvLc		2	Áigi/Tiempo			(measta) + Ger	Vlc								La pared estuvo a punto de caer.	Seaidni lei (measta) gahččamin.												
A quien madruga, Dios le ayuda.				Sátnevájas/Refrán		2			Iđit lea buoremus bargo-áigi.		Pfs																					
a simple vista		s: a primera vista		AdvLc		13			álgočalmmis		Adv		s: vuosttaš oaidnimis						Las erratas se ven a simple vista.	Meattáhusat oidnojit álgočalmmis.	Sus intenciones se ven a primera vista.	Su áigumušat vuhttojuvvojit vuosttaš oaidnimis.										
a todas horas				AdvLc		15			čađat		Adv		s: áloládje	s: álo																		
a todo gas				AdvLc		2			olles gássain		AdvLc																					
a última hora				AdvLc		13			maŋŋit		Adv								a última hora de la tarde	maŋŋit eahket												
a última hora		s: en el último momento		AdvLc		14			áigemearrái		Adv								Lo hago todo a última hora.	Mun dagan buot áigemearrái.												
abajo				Adv		1	Stáhtalaš/Estático		vuollin		Adv								Espero abajo.	Mun vuorddán vuollin.												
abajo				Adv		2	Stáhtalaš/Estático		vuolábealde		Po								el piso de abajo	ásodaga vuolábealde												
abajo				Adv		3	Dynámalaš/Dinámico		vulos		Po		s: vulos guvlui						Conducimos por esta calle hacia abajo.	Mii vuodjit dán gáhta vulos.												
abandonado	M,F			A		1			hilgun		A																					
abandonado	M,F			A		2			guođđin		A																					
abandonar			1a	V		1			hilgut		V	TV							Abandonó a su novia.	Son hilggui iežas moarsi.												
abandonar			1a	V		2			guođđit		V	TV							Tuvo que abandonar la ciudad.	Son fertii guođđit gávpoga.												
abandonarse			1a	V	abandonar	3			vuollánit		V	Prnl, ReflV	s: addit vuollái						Te has abandonado al alcohol durante demasiado tiempo.	Don leat vuollánan alkoholii menddo guhká.												
abecedario	M			N		1			alfabehta		N		s: áppesgirji	s: áppes																		
abedul	M			N		1		betula pendula	soahki		N																					
abeja	F			N		1		apis mellifera	mieđašeatni		N		s: čoarvevievssis																			
abejorro	M			N		1		bombus terrestris	uvlu		N		v: uvhlu																			
abeto	M			N		1		abies alba	guossa		N																					
abierto	M,F			A	abrir	1			rabas		A								La puerta está abierta.	Uksa lea rabas.												
abierto	M,F			A	abrir	2	Geainnut		vuojehahtti		A								Las carreteras ya no tienen hielo; están abiertas.	Geainnuin eai leat šat jiekŋasat, dat leat vuojehahttit.												
abierto	M,F			A	abrir	3			viesoheapmi		A								campo abierto	viesuhis guovllu												
aborto	M			N		1	Olmmoš		cuovkaneapmi		N																					
aborto	M			N		2	Eallit		reiton		N																					
abrazar			1f	V		1			sallut		V	TV	s: fátmut						María abrazó a su padre.	María salui iežas áhči.												
abrazarse			1f	V	abrazar	2			sallut		V	Prnl, ReflV	s: salain dearvvahit						Cuando tienen miedo, los niños se abrazan a cualquiera.	Go sii ballet, de mánát sallot vaikko gean.												
abrazarse			1f	V	abrazar	3			sallut		V	Prnl, RecV	s: saludit	s: váldit birračeabáha					Los esposos se abrazan.	Náittosbárra salluba goabbát guoimmiska.												
abrazo	M			N		1			buorresteapmi		N		s: sallun	s: fátmmasteapmi																		
abrir			3a	V		1			rahpat		V	TV	s: leahkastit	s: cakkastit	s: govket				¡Abre la puerta!	Raba uvssa!												
abrir			3a	V		2			rahpat		V	IV							Las tiendas abren a la nueve y media.	Buvddat rahpet beal logis.												
abrir			3a	V		3	Figuratiiva/Figurado		álggahit		V	TV	s: vihahit						El rector abrió el curso escolar.	Oahpahaga njunošhoavda álggahii oahpahusjagi.												
abrir			3a	V		4			doaibmat		V	IV							Esta puerta abre mal.	Dát uksa doaibmá hejodit.												
abrir fuego			3a	VLc		15	Militeara/Militar		báhčigoahtit		V	TV																				
abrir la boca			3a	VLc		2			rahpat njálmmi		VLc	TV	s: cakkastit njálmmi																			
abrir la sesión			3a	VLc		4			rahpat čoahkkima		VLc	TV																				
abrirse			3a	V	abrir	5			šaddat		V	Prnl, IV	s: bohciidit	s: lieđđut					Las flores se abren en primavera.	Hearvarásit bohciidit giđđat.												
abrirse			3a	V	abrir	6	Čiegusvuođa dovdduid		cealkit		V	Prnl, IV							Me abro con mis amigos.	Mun cealkkán čiegusvuođa dovdduid ustibiiddásan.												
abrochar			1a	V		1			čavget		V	TV							¿Me abrochas el vestido?	Sáhtát go čavget mu biktasa?												
abrocharse			1a	V	abrochar	2			čavget		V	Prnl, ReflV	s: giddet						Abróchense los cinturones de seguridad.	Čavgejehket iežadet dorvoboahkániid.												
abuela	F			N		1			áhkku		N																					
abuelo	M			N		1			áddjá		N																					
abuelos				N		1			áhkku ja áddjá		NLc	Use: Pl																				
abundante	M/F			A		1			valjis		A		s: valljugas	s: ráhpat																		
abundar			1a	V		1			leat valjit		VLc	IV	s: leat sakka	s: gávdnot valljugasat					En este río abundan los cangrejos.	Dán jogas gávdnojit valljugasat reabbát.												
aburrido	M,F			A		1			ahkit		A		s: láittas	s: suivat	s: váivi																	
aburrir			3a	V		1			dolkadit		V	TV	s: váibadit						Lloras tanto que me aburres.	Don čierut nu dávjá ahte mu dolkadat.	Las películas le aburren.	Filmmat váibadit su.										
aburrirse			3a	V	aburrir	2			ahkáduššat		V	Prnl, IV	s: láittastuvvat						Me aburro en la oficina.	Mun láittastuvan bargosajis.												
acabar		s: terminar	1a	V		1			geargat		V	IV, UseAlso: se +	s: nohkat						La reunión acaba pronto.	Čoahkkin geargá fargga.	La reunión se acaba pronto.	Čoahkkin nohká fargga.										
acabar			1a	V		2			loahpahit		V	TV							He acabado el libro.	Lean loahpahan girjji.												
acabar			1a	V	acabar	3			heaittihit		V	UseTV, + con							Los políticos deberían acabar con la corrupción.	Politihkárat berrešedje heaittihit korrupšuvnna.												
acabar			1a	V	acabar	4			goddit		V	UseTV, + con	s: sorbmet	s: heakkahuhttit	s: jalget				Algunos gobiernos coloniales acabaron con los indígenas.	Muhtun kolonialisttalaš ráđđehusat godde eamiálbmogiid.												
acabar			1a	V	acabar	5			heaitit		V	IV, + de							¿A qué hora acabas de trabajar?	Guđe áiggi heaittát barggus?	¿A qué hora acabas de trabajar?	Goas heaittát barggus?										
acabar			1a	VLc	acabar	6			leat aiddo		V	AuxV, + de + Inf, Saam: + PrfPrc	s: leat eske						Acaba de llegar.	Aiddo lea boahtán.	Acabo de comer hace un momento.	Mun lean eske boradan.										
acabar de			1a	VLc		13			aiddo		Adv	+ Inf	s: easkka						Acaba de irse.	Son easkka vulggii.												
acabarse		s: terminarse	1a	V	acabar	7			nohkat		V	Prnl, IV	s: gollat						Comes tan poco que te estás acabando.	Don borat nu unnán ahte don leat nohkamin.	Los huevos se han acabado en la tienda.	Rámbuvrris leat nohkan monit.	Se me ha acabado la batería.	Bahtter lea gollan.								
acabarse			1a	VLc	acabar	8			leat aiddo		V	Prnl, AuxV, + de + Inf, Saam: + PrfPrc	s: leat eske						Me acabo de levantar.	Lean aiddo lihkkan.												
accidentado	M,F			A		1	Eanadieđa/Geografía		rámškkas		A		s: boldnái	s: čobmái	s: rušas	s: eahpedásset			terreno accidentado	rámško-eanan												
accidente	M			N		1			lihkohisvuohta		N		s: bárti	s: vuotnahisvuohta					Susana sufrió un accidente de autobús.	Susana gárttai busselihkohisvuhtii.												
accidente	M			N		2	Eanadieđa/Geografía		roggi		N								Ese camino de montaña tiene muchos accidentes.	Dán várregeainnus leat ollu rokkit.	Ese camino de montaña tiene muchos accidentes.	Dát várregeaidnu lea roggái.										
accidente	M			N		3	Giella-oahppa/Gramática		sojahus		N																					
accidente múltiple	M			NLc		4			gurgadaslihkohisvuohta		N		s: ráidolihkohisvuohta	s: gurgadaskollišuvdna	s: ráidokollišuvdna	s: oktiibeaškkeheapmi																
acción	F			N		1			dahku		N		s: doaibma																			
acción	F			N		2	Ekonomiija/Economía		oasus		N																					
aceite	M			N		1			olju		N								aceite de oliva	olivenolju												
aceite de hígado de bacalao	M			NLc		2	Dorskevuojas ráhkaduvvo		guolevuodja		N																					
aceituna	F			N		1			oliven		N																					
acera	F			N		1			váccáhat		N		s: vázzingeainnus	s: vázzinravda																		
acerca				Pr		1				Gen		+ de							Ha escrito un libro acerca del rey.	Lea čállán gonagasa girjji.												
acerca				Pr		2				Loc		+ de							Ha escrito un libro acerca del rey.	Lea čállán girjji gonagasas.												
acerca				Pr		3			birra		Po	+ de	s: ektui	s: hárrai					Ha escrito un libro acerca del rey.	Lea čállán girjji gonagasa birra.	No sé nada (acerca) de ti.	In dieđe maidege du ektui.										
acercar			1g	V		1			lagadit		V	TV							Acércame el azúcar, por favor.	Sáhtášit go leat nu buorre ahte lagadat sohkkara?												
acercarse			1g	V	acercar	2			lahkanit		V	Prnl, IV	s: lahkonit	s: boahtit	s: boahtit lagabui				Nos acercamos a la montaña.	Moai lahkanetne várrái.	Acércate.	Boađe lagabui.	Acércate.	Boađe deike.								
ácido	M,F			A		1			suvrris		A								El limón es ácido.	Sitrovdna lea suvrris.												
ácido	M,F			A		2	Mielki		jiesas		A																					
ácido	M			N		1			sivra		N																					
aclarar			1a	V		1	Ivdni		šelggodahttit		V	TV	s: šearasmahttit						Aclara los colores oscuros.	Dat šelggodahttá sevdnjes ivnniid.												
aclarar			1a	V		2	Dálki		firtet		V	IV, Imp, 3per							El cielo aclara.	Dál firte.												
aclarar			1a	V		3	Mierká		govdet		V	IV, Imp, 3per							La niebla aclara.	Mierká govde.												
aclarar			1a	V		4	Doaba		čilget		V	TV	s: čielggadit						Ese profesor aclara bien los conceptos.	Dát oahpaheaddji čilge bures doahpagiid												
aclarar			1a	V		5	Bassaladdan		doidit		V	TV							La lavadora no aclara bien la ropa.	Bassaladdanmášiidna ii doidde doarvái bures biktasiid.												
aclararse			1a	V	aclarar	6			nákcet		V	Prnl, IV	s: nagodit						Los ciudadanos no se aclaran con el cambio de moneda.	Riikkavuložat eai nákce ruhtacuvkemiin.												
acompañar			1a	V		1			mieđuštit		V	TV	s: čuovvut						Tenía que acompañarla al mercado.	Mun fertejin su mieđuštit márkanii.												
acompañar			1a	V		2			čuovvut		V	TV							Junto con la ley acompañaron el codicilo.	Lágain čuovui kodisilla.												
acompañarse			1a	V	acompañar	3			heivet		V	Imp, 3per	s: soahpat						La carne se acompaña con vino tinto, el pescado con blanco.	Birgui heive ruksesviidna, guollái fas vilgesviidna.												
acompañarse			1a	V	acompañar	4			čuvodit		VLc	Prnl, IV	s: leat mielde	s: leat fárus					Siempre te acompañas de buena gente.	Don čuvodat álo buriid olbmuid.												
acondicionado	M,F			A		1			siskkoštuvvon		A								La sala está acondicionada para la reunión.	Latnja lea siskkoštuvvon čoahkimii.												
acondicionar			1a	V		1			ordnet		V	TV	s: siskkoštit	s: bures ráhkkanahttit					Voy a acondicionar la habitación.	Áiggun boahtit siskkoštit lanja.												
acordar			1m	V		1			šiehtadit		V	TV	s: ráđđádallat						Los  partidos acordaron el nuevo presupuesto.	Bellodagat šiehtadedje ođđa bušeahta.												
acordarse			1m	V	acordar	2			muitit		V	Prnl, ReflV, UseTV, + de							No me acuerdo de esa canción.	In muitte dán lávlaga.												
acorde	M/F			A		1			vástideaddji		A		s: heivvolaš	s: soahpavaš					La decisión fue acorde con el presupuesto.	Mearrádus lei bušeahta vástideaddji.	El salario es acorde a mis necesidades.	Bálká lea heivvolaš mu dárbbuide.										
acorde	M			N		1	Musihkka/Música		ákkoarta		N		s: šuoŋaid oktiiheiven																			
acordeón	M			N		1			geassočuojanas		N																					
acostar			1m	V		1			nohkkadit		V	TV							La enfermera acuesta al paciente.	Buohccidivššár nohkkada buohcci.	Laura ha ido a acostar a la niña.	Laura lea vuolgán nohkkadit nieiddaža.										
acostarse			1m	V	acostar	2			velledit		V	Prnl, ReflV	s: nohkkat						Es hora de acostarse.	Lea áigi velledit.												
acostarse			1m	V	acostar	3	Beaivválaš giella/Uso coloquial		anašit		V	Prnl, RecV																				
acostumbrar			1a	V		1			hárjehahttit		V	TV	s: vuogáiduhttit	s: oadjudahttit					Es bueno acostumbrar a la persona a comer saludable desde niño.	Lea buorre hárjehahttit olbmo borrat dearvvašlaččat mánnávuođas juo.												
acostumbrar			1a	V		2			lávet		V	IV, + a							Los sábados acostumbro a ir al teatro con mi mujer.	Lávvordagaid láven mannat teahterii eamidiin.												
acostumbrarse			1a	V	acostumbrar	3			hárjánit		V	Prnl, IV, + a	s: doahttat						Es más fácil acostumbrarse a la idea de que todos tenemos que morir algún día.	Lea olu álkit hárjánit jurdagii, ahte buohkat galget jápmit muhtun beaivvi.												
acostumbrarse			1a	V	acostumbrar	4			oadjut		V	Prnl, UseTV, + a							Todavía no me he acostumbrado a conducir este coche.	In leat velá odjon vuodjit dien biilla.												
acostumbrarse			1a	V	acostumbrar	5			seatnat		V	Prnl, UseTV, + a							No me acostumbro a vivir en París.	In seana orrut Parisas.												
actitud	F			N		1			guoddu		N		s: dahku						La actitud del Partido Laborista estimuló el acuerdo.	Bargiidbellodaga dahku ávžžuhii šiehtadallat.												
activar			1a	V		1			aktiveret		V	TV	s: ealáskahttit	s: jođálmahttit	s: gáhčahit	s: vuolggahit			activar un motor	aktiveret mohtovrra	activar un motor	vuolggahit mohtovrra johtui										
activarse			1a	V	activar	2			doaibmagoahtit		V	Prnl, IV							El ordenador se activa al pulsar el botón.	Dihtor doaibmagoahtá go deaddila boalu.												
actividad	F			N		1			árjjalašvuohta		N		s: doaimmalašvuohta																			
actividad	F			N		2			doaibma		N																					
actividad	F	s: industria		N		3			doallu		N								actividad del reno	boazodoallu	actividad agropecuaria	eana(n)doallu										
actual	M/F			A		1			dálá		Attr		s: dáláš						Para el año 2030, la temperatura media será un grado más alta que la actual.	2030-jagiid gaskamearálaš temperatuvra galgá leat ceahki dálá temperatuvrra badjeleabbos.												
actuar			1e	V		1			doaibmat		V	IV							Actúa en pequeños papeles en el cine.	Son doaibmá smávebuš filbmarollain.	Tres personas actúan como recepcionistas.	Golbma olbmo doibmet guossevuostáváldin.										
actuar			1e	V		2			láhttet		V	IV							El hombre actuó de una manera inconveniente.	Almmái láhttii heivemeahttumin.												
acuerdo	M			N		1			šiehtadus		N		s: lihttu																			
acusar recibo			1a	VLc		2			dieđihit, ahte lea vuostáiváldán sága		Pfs	TV																				
además				Adv		1			dasa lassin		AdvLc		s: maiddái	s: maiddá	s: lassin				Es un gran compositor y además un excelente pianista.	Son lea máinnalmas komponista ja dasa lassin válljugas pianista.	Además hay que tener en cuenta el precio del petróleo.	Ferte váldit vuhtii maiddái eana(n)oljju hatti.										
adentro				Adv		1	Stáhtalaš/Estático			Loc									Mar adentro no hay tanto oleaje.	Ábis ii leat gearahat.	La bala está metida adentro.	Luođđa lea bisson gorudis.										
