WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC WORD	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANS SYNON1	TRANS SYNON2	TRANS SYNON3	TRANS SYNON4	TRANS SYNON5	TRANS SYNON6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
a por				PrLc		2			Usar: Locativo			Saam: Boares geavaheapmi							Ha ido a por leña.	Son lea mannan muorain.	Ha ido a por agua.	Son lea mannan čázis.										
abajo				Adv		1	Estático		vuollin		Adv								Espero abajo.	Mun vuorddán vuollin.												
abajo				Adv		2	Estático		vuolábealde		Po								el piso de abajo	ásodaga vuolábealde												
abajo				Adv		3	Dinámico		vulos		Po								Conducimos por esta calle hacia abajo.	Mii vuodjit dán gáhta vulos.												
abajo				Adv		4	Dinámico		vulos guvlui		Po																					
abandonado	M,F			A		1			hilgun		A																					
abandonado	M,F			A		2			guođđin		A																					
abandonar			1a	V		1			hilgut		V	TV							Abandonó a su novia.	Son hilggui iežas moarsi.												
abandonar			1a	V		2			guođđit		V	TV							Tuvo que abandonar la ciudad.	Son fertii guođđit gávpoga.												
abandonarse			1a	V		3			vuollánit		V	Prnl, ReflV							Te has abandonado al alcohol durante demasiado tiempo.	Don leat vuollánan alkoholii menddo guhká.												
abecedario	M			N		1			alfabehta		N																					
abecedario	M			N		2			áppesgirji		N																					
abecedario	M			N		3			áppes		N																					
abedul	M			N		1		betula pendula	soahki		N																					
abeja	F			N		1		apis mellifera	mieđašeatni		N																					
abeja	F			N		2		apis mellifera	čoarvevievssis		N																					
abejorro	M			N		1		bombus terrestris	uvlu		N																					
abejorro	M			N		2		bombus terrestris	uvhlu		N																					
abeto	M			N		1		abies alba	guossa		N																					
abierto	M,F			A		1			rabas		A								La puerta está abierta.	Uksa lea rabas.												
abierto	M,F			A		2	Geainnut		vuojehahtti		A								Las carreteras ya no tienen hielo; están abiertas.	Geainnuin eai leat šat jiekŋasat, dat leat vuojehahttit.												
abierto	M,F			A		3			viesuheapmi		A								campo abierto	viesuhis guovllu												
aborto	M			N		1	Personas		cuovkaneapmi		N																					
aborto	M			N		2	Animales		reiton		N																					
abrazar			1f	V		1			sallut		V	TV							María abrazó a su padre.	María salui iežas áhči.												
abrazar			1f	V		2			fátmut		V	TV																				
abrazarse			1f	V		3			sallut		V	Prnl, ReflV							Cuando tienen miedo, los niños se abrazan a cualquiera.	Go sii ballet, de mánát sallot vaikko gean.												
abrazarse			1f	V		4			salain dearvvahit		VLc	Prnl, ReflV																				
abrazarse			1f	V		5			sallut		V	Prnl, RecV							Los esposos se abrazan.	Náittosbárra salluba goabbat guoimmiska.												
abrazarse			1f	V		6			saludit		V	Prnl, RecV																				
abrazarse			1f	V		7			váldit birračeabáha		VLc	Prnl, RecV																				
abrazo	M			N		1			buorresteapmi		N																					
dar un abrazo			1r	VLc		1			buorrestit		V	TV																				
dar un abrazo			1r	VLc		2			salastit		V	IV																				
dar un abrazo			1r	VLc		3			fátmmastit		V	IV																				
dar un abrazo			1r	VLc		4			fátmut		V	IV																				
abrir			3a	V		1			rahpat		V	TV							¡Abre la puerta!	Raba uvssa!												
abrir			3a	V		2			leahkastit		V	TV																				
abrir			3a	V		3			cakkastit		V	TV																				
abrir			3a	V		4			govket		V	TV																				
abrir			3a	V		5			rahpat		V	IV							Las tiendas abren a la nueve y media.	Buvddat rahpet beal logis.												
abrir			3a	V		6	Figuratiiva		álggahit		V	TV							El rector abrió el curso escolar.	Oahpahaga njunušhoavda álggahii oahpahusjagi.												
abrir			3a	V		7	Figuratiiva, Inaugurar		vihahit		V	TV																				
abrir			3a	V		8			doaibmat		V	IV							Esta puerta abre mal.	Dát uksa doaibmá hejodit.												
abrirse			3a	V		9	Hearvarásit		bohciidit		V	Prnl, IV							Las flores se abren en primavera.	Hearvarásit bohciidit giđđat.												
abrirse			3a	V		10	Hearvarásit		šaddat		V	Prnl, IV																				
abrirse			3a	V		11	Hearvarásit		lieđđut		V	Prnl, IV																				
abrirse			3a	V		12	Čiegusvuođa dovdduid		cealkit		V	Prnl, IV							Me abro con mis amigos.	Mun cealkkán čiegusvuođa dovdduid ustibiiddásan.												
abrochar			1a	V		1			čavget		V	TV							¿Me abrochas el vestido?	Sáhtát go čavget mu biktasa?												
abrocharse			1a	V		2			čavget		V	Prnl, ReflV							Abróchense los cinturones de seguridad.	Čavgejehket iežadet dorvoboahkániid.												
abrocharse			1a	V		3			giddet		V	Prnl, ReflV																				
abuela	F			N		1			áhkku		N																					
abuelo	M			N		1			áddjá		N																					
abuelos				N		1			áhkku ja áddjá		NLc	Use: Pl																				
abundante	M/F			A		1			valjis		A																					
abundante	M/F			A		2			valljugas		A																					
abundante	M/F			A		3			ráhpat		A																					
abundar			1a	V		1			gávdnot valljugasat		VLc	IV							En este río abundan los cangrejos.	Dán jogas gávdnojit valljugasat reabbát.												
abundar			1a	V		2			leat sakka		VLc	IV																				
abundar			1a	V		3			leat valjit		VLc	IV																				
aburrido	M,F			A		1			ahkit		A																					
aburrido	M,F			A		2			láittas		A																					
aburrido	M,F			A		3			suivat		A																					
aburrido	M,F			A		4			váivi		A																					
aburrir			3a	V		1			dolkadit		V	TV							Lloras tanto que me aburres.	Don čierut nu dávjá ahte mu dolkadat.												
aburrir			3a	V		2			váibadit		V	TV							Las películas le aburren.	Filmmat váibadit su.												
aburrirse			2a	V		3			láittastuvvat		V	Prnl, IV							Me aburro en la oficina.	Mun láittastuvan bargosajis.												
aburrirse			3a	V		4			ahkáduššat		V	Prnl, IV																				
acabar			1a	V		1			geargat		V	IV, UseAlso: se +							La reunión acaba pronto.	Čoahkkin geargá fargga.												
acabar			1a	V		2			nohkat		V	IV, UseAlso: se +							La reunión se acaba pronto.	Čoahkkin nohká fargga.												
acabar			1a	V		3			loahpahit		V	TV							He acabado el libro.	Lean loahpahan girjji.												
acabar			1a	V		4			heaittihit		V	UseTV, + con							Los políticos deberían acabar con la corrupción.	Politihkkárat berrešedje heaittihit korrupšuvnna.												
acabar			1a	V		5			goddit		V	UseTV, + con							Algunos gobiernos coloniales acabaron con los indígenas.	Muhtun kolonialisttalaš ráđđehusat godde eamiálbmogiid.												
acabar			1a	V		6			sorbmet		V	UseTV, + con																				
acabar			1a	V		7			heakkahuhttit		V	UseTV, + con																				
acabar			1a	V		8			jalget		V	UseTV, + con																				
acabarse			1a	V		9			nohkat		V	Prnl, IV							Comes tan poco que te estás acabando.	Don borat nu unnán ahte don leat nohkamin.												
acabarse			1a	V		10			nohkat		V	IV, PassV							Los huevos se han acabado en la tienda.	Rámbuvrris leat nohkan monit.												
acabarse			1a	V		11			gollat		V	IV, PassV							Se me ha acabado la batería.	Báhtter lea gollan.												
acabarse			1a	VLc		12			leat aiddo		V	Prnl, AuxV, + de + Inf, Saam: + PrfPrc							Me acabo de levantar.	Lean aiddo lihkkan.												
acabar de			1a	V		1			heaitit		V	IV							¿A qué hora acabas de trabajar?	Guđe áiggi heaittát barggus?	¿A qué hora acabas de trabajar?	Goas heaittát barggus?										
acabar de			1a	VLc		2			leat aiddo		VLc	AuxV, + Inf, Saam: + PrfPrc							Acaba de llegar.	Aiddo lea boahtán.												
acabar de			1a	VLc		3			leat eske		VLc	AuxV, + Inf, Saam: + PrfPrc							Acabo de comer hace un momento.	Mun lean eske boradan.												
acabar de			1a	VLc		4			easkka		Adv	+ Inf							Acaba de irse.	Son easkka vulggii.												
acabar de			1a	VLc		5			aiddo		Adv	+ Inf																				
accidentado	M,F			A		1	Geografía		rámškkas		A								terreno accidentado	mátke-attáldat												
accidentado	M,F			A		2	Geografía		roggái		A																					
accidentado	M,F			A		3	Geografía		boldnái		A																					
accidentado	M,F			A		4	Geografía		čobmái		A																					
accidentado	M,F			A		5	Geografía		rušas		A																					
accidentado	M,F			A		6	Geografía		eahpedásset		A																					
accidentalmente				Adv		1			soaittáhagas		Adv								Consiguió su propósito accidentalmente.	Son cevzzii soaittáhagas.												
accidente	M			N		1			lihkohisvuohta		N								Susana sufrió un accidente de autobús.	Susana gárttai busselihkohisvuhtii.												
accidente	M			N		2			bárti		N																					
accidente	M			N		3			vuotnahisvuohta		N																					
accidente	M			N		4	Geografía		roggi		N								Ese camino de montaña tiene muchos accidentes.	Dán várregeainnus leat ollu rokkit.	Ese camino de montaña tiene muchos accidentes.	Dát várregeaidnu lea roggái.										
accidente	M			N		5	Gramática		sojahus		N																					
accidente múltiple	M			NLc		1			gurgadaslihkohisvuohta		N																					
accidente múltiple	M			NLc		2			ráidolihkohisvuohta		N																					
accidente múltiple	M			NLc		3			gurgadaskollišuvdna		N																					
accidente múltiple	M			NLc		4			ráidokollišuvdna		N																					
accidente múltiple	M			NLc		5			oktiibeaškkeheapmi		N																					
por accidente				AdvLc		1			soaittáhagas		Adv								Consiguió su propósito por accidente.	Son cevzzii soaittáhagas.												
acción	F			N		1			dahku		N																					
acción	F			N		2			doaibma		N																					
acción	F			N		3	Economía		oasus		N																					
de acción	M/F			ALc		1			doaibmi		A								hombre de acción	doaibmi almmái												
de acción	M/F			ALc		2			doaimmalaš		A																					
de acción	M/F			ALc		3			dráma-		Attr								novela de acción	drámmanovealla												
aceite	M			N		1			olju		N								aceite de oliva	oliven olju												
aceite de hígado de bacalao	M			NLc		1	Dorskevuojas ráhkaduvvo		guolevuodja		N																					
aceituna	F			N		1			oliven		N																					
acera	F			N		1			váccáhat		N																					
acera	F			N		2			vázzingeainnus		N																					
acera	F			N		3			vázzinravda		N																					
acerca				Pr		1			Usar: Genitivo			+ de							Ha escrito un libro acerca del rey.	Lea čállán gonagasa girjji.												
acerca				Pr		2			Usar: Locativo			+ de							Ha escrito un libro acerca del rey.	Lea čállán girjji gonagasas.												
acerca				Pr		3			birra		Po	+ de							Ha escrito un libro acerca del rey.	Lea čállán girjji gonagasa birra.												
acerca				Pr		4			ektui		Po	+ de							No sé nada acerca de ti.	In dieđe maidege du ektui.												
acerca				Pr		5			hárrai		Po	+ de																				
acercar			1g	V		1			lagadit		V	TV							Acércame el azúcar, por favor.	Sáhtášit go leat nu buorre ahte lagadat sohkkara?												
acercarse			1g	V		2			lahkanit		V	Prnl, IV							Nos acercamos a la montaña.	Moai lahkanetne várrái.												
acercarse			1g	V		3			lahkonit		V	Prnl, IV																				
acercarse			1g	V		4			boahtit		V	Prnl, IV							Acércate.	Boađe deike.												
acercarse			1g	V		5			boahtit lagabui		VLc	Prnl, IV							Acércate.	Boađe lagabui.												
ácido	M,F			A		1			suvrris		A								El limón es ácido.	Sitrovdna lea suvrris.												
ácido	M,F			A		2	La leche		jiesas		A																					
ácido	M			N		1			sivra		N																					
aclarar			1a	V		1	El color		šelggodahttit		V	TV							Aclara los colores oscuros.	Dat šelggodahttá sevdnjes ivnniid.												
aclarar			1a	V		2	El color		šearasmahttit		V	TV																				
aclarar			1a	V		3	El tiempo		firtet		V	IV, Imp, 3per							El cielo aclara.	Dál firte.												
aclarar			1a	V		4	La niebla		govdet		V	IV, Imp, 3per							La niebla aclara.	Mierká govde.												
aclarar			1a	V		5			čilget		V	TV							Ese profesor aclara bien los conceptos.	Dát oahpaheaddji čilge bures doahpagiid												
aclarar			1a	V		6			čielggadit		V	TV																				
aclarar			1a	V		7			doidit		V	TV							La lavadora no aclara bien la ropa.	Bassaladdanmašiidna ii doidde doarvái bures biktasiid.												
aclararse			1a	V		8			nákcet		V	Prnl, IV							Los ciudadanos no se aclaran con el cambio de moneda.	Riikkavuložat eai nákce ruhtacuvkemiin.												
aclararse			1a	V		9			nagodit		V	Prnl, IV							Los ciudadanos no se aclaran con el cambio de moneda.	Riikkavuložat eai nagot ruhtacuvkemiin.												
acompañar			1a	V		1			mieđuštit		V	TV							Tenía que acompañarla al mercado.	Mun fertejin su mieđuštit márkanii.												
acompañar			1a	V		2			čuovvut		V	TV							Junto con la ley acompañaron el codicilo.	Lágain čuovui kodisilla.												
acompañarse			1a	V		3			heivet		V	Imp, 3per							La carne se acompaña con vino tinto, el pescado con blanco.	Birgui heive ruksesviidna, guollái fas vilgesviidna.												
acompañarse			1a	V		4			soahpat		V	Imp, 3per																				
acompañarse			1a	V		5			čuvodit		V	Prnl, IV							Siempre te acompañas de buena gente.	Don čuvodat álo buriid olbmuid.												
acompañarse			1a	V		6			leat mielde		VLc	Prnl, IV																				
acompañarse			1a	V		7			leat fárus		VLc	Prnl, IV																				
acondicionado	M,F			A		1			siskkuštuvvon		A								La sala está acondicionada para la reunión.	Latnja lea siskkuštuvvon čoahkimii.												
acondicionar			1a	V		1			ordnet		V	TV																				
acondicionar			1a	V		2			siskkuštit		V	TV							Voy a acondicionar la habitación.	Áiggun boahtit siskkuštit lanja.												
acordar			1m	V		1			šiehtadit		V	TV							Los  partidos acordaron el nuevo presupuesto.	Bellodagat šiehtadedje ođđa bušeahta.												
acordar			1m	V		2			ráđđádallat		V	TV																				
acordarse			1m	V		3			muitit		V	Prnl, ReflV, UseTV, + de							No me acuerdo de esa canción.	In muitte dán lávlaga.												
acorde	M/F			A		1			vástideaddji		A								La decisión fue acorde con el presupuesto.	Mearrádus lei bušeahta vástideaddji.												
acorde	M/F			A		2			heivvolaš		A								El salario es acorde a mis necesidades.	Bálká lea heivvolaš mu dárbbuide.												
acorde	M/F			A		3			soahpavaš		A																					
acorde	M			N		1	Música		šuoŋaid oktiiheiven		NLc																					
acordeón	M			N		1			geassočuojanas		N																					
acostar			1m	V		1			nohkkadit		V	TV							La enfermera acuesta al paciente.	Buohccidivššár nohkkada buohcci.	Laura ha ido a acostar a la niña.	Laura lea vuolgán nohkkadit nieiddaža.										
acostarse			1m	V		2			velledit		V	Prnl, ReflV							Es hora de acostarse.	Lea áigi velledit.												
acostarse			1m	V		3			nohkkat		V																					
acostarse			1m	V		4	Sexual / Seksuála		anašit		V	Prnl, RecV																				
estar acostado			1p	VLc		1			velledit		V	IV																				
estar acostado			1p	VLc		2	Los animales		livvut		V	IV							La vaca está acostada y rumiando.	Gussa livvu ja smirezastá.												
estar acostado			1p	VLc		3	El perro, el gato		goarjut		V	IV							El perro está acostado.	Beana goarju.												
acostumbrar			1a	V		1			hárjehahttit		V	TV							Es bueno acostumbrar a la persona a comer saludable desde niño.	Lea buorre hárjehahttit olbmo borrat dearvvašlaččat mánnávuođas juo.												
acostumbrar			1a	V		2			vuogáiduhttit		V	TV																				
acostumbrar			1a	V		3			oadjudahttit		V	TV																				
acostumbrar			1a	V		4			lávet		V	TV, + a							Los sábados acostumbro a ir al teatro con mi mujer.	Lávvordagaid láven mannat teáhterii eamidiin.												
acostumbrarse			1a	V		5			hárjánit		V	Prnl, UseTV, + a							Es más fácil acostumbrarse a la idea de que todos tenemos que morir algún día.	Lea olu álkit hárjánit jurdagii, ahte buohkat galget jápmit muhtun beaivvi.												
acostumbrarse			1a	V		6			doahttat		V	Prnl, UseTV, + a																				
acostumbrarse			1a	V		7			oadjut		V	Prnl, UseTV, + a							Todavía no me he acostumbrado a conducir este coche.	In leat velá odjon vuodjit dien biilla.												
acostumbrarse			1a	V		8			seatnat		V	Prnl, UseTV, + a							No me acostumbro a vivir en París.	In seana orrut Parisas.												
estar acostumbrado			1p	VLc		1			leat hárjánan		VLc	Prnl, UseTV, + a																				
actitud	F			N		1			guoddu		N																					
actitud	F			N		2			dahku		N								La actitud del Partido Laborista estimuló el acuerdo.	Bargiidbellodaga dahku ávžžuhii šiehtadallat.												
activar			1a	V		1			aktiveret		V	TV							activar un motor	aktiveret mohtora												
activar			1a	V		2			volggahit johtui		VLc	TV							activar un motor	vuolggahit mohtora johtui												
activar			1a	V		3			ealáskahttit		V	TV																				
activar			1a	V		4			gáhčahit		V	TV																				
activarse			1a	V		4			doaibmagoahtit		V	Prnl, IV							El ordenador se activa al pulsar el botón.	Dihtor doaibmagoahtá go deaddila boalu.												
actividad	F			N		1			árjjalašvuohta		N																					
actividad	F			N		2			doaimmalašvuohta		N																					
actividad	F			N		3			doaibma		N																					
actividad	F			N		4			doallu		N								actividad del reno	boazodoallu	actividad agropecuaria	eanadoallu										
activo	M,F			A		1			árjjálaš		A																					
activo	M,F			A		2			árjjalaš		A																					
activo	M,F			A		3			doaimmalaš		A																					
estar en activo			1p	VLc		1			leat doaimmas		VLc	IV																				
actual	M/F			A		1			dálá		Attr								Para el año 2030, la temperatura media será un grado más alta que la actual.	2030-jagiid gaskamearálaš temperatuvra galgá leat ceahki dálá temperatuvrra badjeleappos.												
actual	M/F			A		2			dáláš		Attr																					
actualidad	M			N		1			áigeguovdilvuohta		N																					
actualizar			2r	V		1			heivehit otná beaivái		VLc								El tesorero actualizó las cuentas.	Rehketdoalli heivehii rehkegiid otná beaivái.												
actualizar			2r	V		2			áigeguovdilastit		V																					
actualizarse			2r	V		3			loktet gelbbolašvuođa dálá áigái		Pfs	Prnl, ReflV							Me estoy actualizando en química.	Mun lean loktemin iežan kemiijalaš gelbbolašvuođa dálá áigái.												
actualmente				Adv		1			dálá-áiggi		Adv																					
actualmente				Adv		2			dáláš		Adv																					
actualmente				Adv		3			dánáigásaččat		Adv																					
actuar			1e	V		1			doaibmat		V	IV							Actúa en pequeños papeles en el cine.	Son doaibmá smávibus filbmarollain.	Tres personas actúan como recepcionistas.	Golbma olbmo doibmet guossevuostáváldin.										
actuar			1e	V		2			láhttet		V	IV							El hombre actuó de una manera inconveniente.	Almmái láhttii heivemeahttumin.												
acuerdo	M			N		1			šiehtadus		N																					
acuerdo	M			N		2			lihttu		N																					
de acuerdo				AdvLc		1			ovtta oaivilis		Adv																					
estar de acuerdo			1p	VLc		1			leat ovtta oaivilis		VLc	IV																				
acusación	F			N		1			sivahallan		N																					
acusación	F			N		2			áššáiduhttin		N																					
acusado	M,F			A, N		1	De una culpa o delito		áššálaš		A, N																					
acusado	M,F			A		1	Fuerte, intenso		návccalaš		A																					
acusado	M,F			A		2	Fuerte, intenso		gievra		A																					
acusado	M,F			A		3	Fuerte, intenso		vuoimmálaš		A																					
acusar			1a	V		1	Jurídico		váidit		V	TV																				
acusar			1a	V		2	Jurídico		guoddalit		V	TV																				
acusar			1a	V		3	Jurídico		áššáskuhttit		V	TV																				
acusar			1a	V		4	Responsabilizar		sivahallat		V	TV																				
acusar recibo			1a	VLc		1			dieđihit, ahte lea vuostáiváldán sága		Pfs																					
adelante				Adv		1			ovddas		Adv								No podemos ir adelante.	Mii eat sáhte mannat ovddas.												
adelante				Adv		2			ovddasguvlui		Adv								dar un paso adelante	lávket ovddasguvlui												
hacia delante				AdvLc		1			ovddasguvlui		Adv								dar un paso hacia delante	lávket ovddasguvlui												
además				Adv		1			dasa lassin		AdvLc								Es un gran compositor y además un excelente pianista.	Son lea máinnalmas komponista ja dasa lassin válljugas pianista.												
además				Adv		2			maiddái		Adv								Además hay que tener en cuenta el precio del petróleo.	Ferte váldit vuhtii maiddái eananoljju hatti.												
además				Adv		3			maiddá		Adv																					
además				Adv		4			lassin		Adv																					
adentro				Adv		1	Estático		Usar: Locativo										Mar adentro no hay tanto oleaje.	Ábis ii leat gearahat.	La bala está metida adentro.	Luođđa lea bisson gorudis.										
adentro				Adv		2	Estático		siste		Po								La bala está metida adentro.	Luođđa lea bisson goruda siste.												
adentro				Adv		3	Estático		siskkabealde		Po																					
adentro				Adv		4	Estático		siskkobealde		Po																					
adentro				Adv		5	Dinámico		guvlui		Po								Conduciendo hacia adentro de la isla, llegas a un lago.	Go vuoját sullo guvlui, de ollet jávregáddái.												
adentro				Adv		6	Dinámico		sisa		Po								Fue adentro de la casa	Son manai viesu sisa.												
adentro				Adv		7	Dinámico		Usar: Ilativo										Fue adentro de la casa	Son manai vissui.												
adentro				Adv		2	Dinámico		siskkabeallai		Adv, Po																					
adentro de				PrLc		1	Dinámico		Usar: Ilativo										No voy a ir adentro de ese bosque.	Mun in vuolgge dán vuovdái.												
a dentro				AdvLc		1	Dinámico		sisa		Adv, Po								Tengo frío, voy a dentro.	Mun goalun, dalle vuolggán sisa.												
a dentro				AdvLc		2	Dinámico		siskkabeallai		Adv, Po																					
a dentro de				PrLc		1	Dinámico		Usar: Ilativo										No voy a ir a dentro de ese bosque.	Mun in vuolgge dán vuovdái.												
adhesión	F			N		1			searvan		N								España firma el protocolo de adhesión a la OTAN.	Espánnja vuolláičállá NATO-searvama protokolla.												
adinerado	M,F			A		1			rikkis		A								La gente adinerada vive en grandes casas.	Rikkes álbmot orru stuorra visttiin.												
adinerado	M,F			A		2			jábálaš		A																					
adinerado	M,F			A		3			ruhttii		A																					
adinerado	M,F			A		4			buresbirgejeaddji		A																					
adiós				Interj		1	Despidíéndose de una persona que se va		mana dearvan		Interj																					
adiós				Interj		2	Despidiéndose de dos personas que se van		manni dearvan		Interj																					
adiós				Interj		3	Despidiéndose de más de dos personas que se van		mannet		Interj																					
adiós				Interj		4	Despidíéndose de una persona que se queda		báze dearvan		Interj																					
adiós				Interj		5	Despidiéndose de dos personas que se quedan		báhcci dearvan		Interj																					
adiós				Interj		6	Despidiéndose de más de dos personas que se quedan		báhcet		Interj																					
adiós				Interj		7	Despidiéndose de más de una personas		oaidnalat		Interj																					
adiós				Interj		8	Despidiéndose de más de una personas, normalmente por teléfono u otros medios a distancia		gullahallat		Interj																					
adiós				Interj		9	Despidiéndose de una persona		oaidnaletne		Interj																					
adiós				Interj		10	Despidiéndose de una persona, normalmente por teléfono u otros medios a distancia		gullahallat		Interj																					
adivinación	F			N		1			árvádus		N																					
adivinanza	F			N		1			sátneárvádus		N								jugar a las adivinanzas	jearrat sátneárvádusaid												
adivinar			1a	V		1			árvidit		V	TV																				
adivinar			1a	V		2	Predecir		einnostit		V	TV																				
adivino	M,F			N		1			einnosteaddji		N																					
adjetivo	M			N		1			adjektiiva		N																					
adjuntar			1a	V		1			bidjat mielddusin		VLc	TV							Le adjunto mi factura.	Mun bijan mielddusin iežan rehkega.												
adjuntar			1a	V		2			laktit		V	TV																				
adjuntar			1a	V		3			ovttastahttit		V	TV																				
adjunto	M,F			A		1			lassi		A								Ver documento adjunto.	Geahča lassi dokumeantta.												
administración	F			N		1			hálddašeapmi		N																					
administración	F			N		2			hálddahus		N																					
administrar			1a	V		1			hálddašit		V	TV																				
administrar			2a	V		2			hálddahit		V	TV																				
administrar			3a	V		3			hoitát		V	TV																				
administrar justicia			1a	VLc		1	Jurídico		dubmet		V	TV																				
adonde				Pron, Rel		1			gosa		Pron, Rel								El lugar adonde voy está muy lejos.	Báiki gosa mun vuolggán, lea mealgadis.												
adónde				Interr		1	Dinámico		gosa		Interr								¿Adónde vas?	Gosa vuolggát?												
adónde				Interr		2			mii		Interr								¿Adónde quieres llegar?	Maid don oaivvildat?												
adornar			1a	V		1			čiŋahit		V	TV							Ana adorna con flores la mesa del comedor.	Ana čiŋaha borranbeavddi liđiiguin.												
adornar			1a	V		2			hervet		V	TV																				
adornar			1a	V		3	Olbmuid, Olbmoattáldagaid		rámidit		V	TV							En su discurso, el alcalde adornó la paciencia de los maestros.	Sátnejođiheaddji rámidii sártnistis oahpaheddjiid gierdevašvuođa.												
adornar			1a	V		4	Olbmuid, Olbmoattáldagaid		rámpot		V	TV																				
adornar			1a	V		5	Olbmuid, Olbmoattáldagaid		rábmot		V	TV																				
adornarse			1a	V		6			čiŋadit		V	Prnl, ReflV																				
adulto	M,F			A		1			rávis-		Attr	Saam: Cmpnd							la edad adulta	rávisolbmo ahki												
adulto	M,F			A		2			olles-		Attr	Saam: Cmpnd							la edad adulta	ollesolbmo ahki												
adulto	M,F			A		3			ollesšattot		A																					
adulto	M,F			N		1			rávisolmmoš		N																					
adulto	M,F			N		2			ollesolmmoš		N																					
adverbio	M			N		1			advearba		N																					
afectar			1a	V		1			váikkuhit		V	TV							La escasez de agua es un gran problema que afecta a nuestro planeta.	Čáhcevátnivuohta lea stuorra váttisvuohtan, mii váikkuha min almmigáhppálaga.												
afectar			1a	V		2			báidnit		V	TV																				
afectar			1a	V		3			váivvidit		V	WObjPron, TV							Me afectan tus palabras.	Du sánit váivvidit mu.												
afeitar			1a	V		1			ráhket		V	TV																				
afeitar			1a	V		2			oanidit skávžžáid		VLc	TV							Carlos afeita a su padre.	Carlos oanida iežas áhči skávžžáid.												
afeitar			1a	V		3			beaskidit skávžžáid		VLc	TV																				
afeitarse			1a	V		4			ráhket iežas skávžžáid		VLc	Prnl, ReflV							Carlos se afeita por las mañanas.	Carlos ráhke iežas skávžžáid iđđediid.												
afilado	M,F			A		1			bastil		A								dientes afilados	bastilis bánit												
afilador	M,F			N		1	La persona		niibesaddji		N																					
afilador	M			N		2	El instrumento		sadjinávnnas		N																					
afilador	M			N		3	El instrumento		dávžžan		N																					
afilador	M			N		4	El instrumento		heaidna		N																					
afilador	M			N		5	El instrumento		saján		N																					
afilar			1a	V		1			sadjit		V	TV																				
afilar			1a	V		2			dávžat		V	TV																				
afilar			1a	V		3			heidnet		V	TV																				
afilar			1a	V		4			čohkat		V	TV																				
